# num,v0,st,lt,dev_st,dev_lt,dev,largest_dev,dist,mod
509,3.492680,0.019314,0.029696,0.010120,0.019880,0.019880,lt,0.000507,26
549,3.492680,0.019353,0.029699,0.012145,0.019998,0.019998,lt,0.000510,28
253,3.492260,0.018958,0.029699,0.008493,0.017587,0.017587,lt,0.000510,28
361,3.488490,0.019065,0.029700,0.002938,0.003560,0.003560,lt,0.000511,28
217,3.490160,0.017755,0.029706,0.071403,0.005919,0.071403,st,0.000517,28
394,3.492890,0.019707,0.029710,0.030685,0.021591,0.030685,st,0.000521,28
465,3.493730,0.019422,0.029720,0.015754,0.026815,0.026815,lt,0.000531,28
478,3.492460,0.019159,0.029734,0.001987,0.019938,0.019938,lt,0.000545,28
464,3.492680,0.019320,0.029735,0.010399,0.021236,0.021236,lt,0.000546,28
57,3.492460,0.017985,0.029740,0.059377,0.020139,0.059377,st,0.000551,28
93,3.488910,0.017915,0.029746,0.063076,0.000300,0.063076,st,0.000557,28
71,3.488490,0.018311,0.029759,0.042341,0.001588,0.042341,st,0.000570,30
54,3.491640,0.018143,0.029760,0.051113,0.016128,0.051113,st,0.000571,30
597,3.491420,0.019449,0.029761,0.017154,0.014881,0.017154,st,0.000572,30
460,3.493520,0.020451,0.029763,0.069556,0.027075,0.069556,st,0.000574,30
196,3.491210,0.018622,0.029771,0.026063,0.014048,0.026063,st,0.000582,30
435,3.492260,0.019409,0.029778,0.015085,0.020299,0.020299,lt,0.000589,30
420,3.491840,0.019202,0.029782,0.004226,0.018004,0.018004,lt,0.000593,30
599,3.492460,0.019281,0.029783,0.008403,0.021620,0.021620,lt,0.000594,30
576,3.492050,0.019299,0.029785,0.009337,0.019316,0.019316,lt,0.000596,30
414,3.493300,0.019243,0.029795,0.006406,0.026879,0.026879,lt,0.000606,30
263,3.492050,0.020140,0.029802,0.053310,0.019902,0.053310,st,0.000613,32
87,3.489330,0.017935,0.029804,0.061994,0.004600,0.061994,st,0.000615,32
195,3.493100,0.018189,0.029838,0.048744,0.027198,0.048744,st,0.000649,32
531,3.490800,0.019233,0.029852,0.005853,0.014486,0.014486,lt,0.000663,32
147,3.493300,0.018019,0.029853,0.057604,0.028878,0.057604,st,0.000664,32
364,3.488280,0.018780,0.029866,0.017812,0.000841,0.017812,st,0.000677,32
194,3.491420,0.017782,0.029878,0.070023,0.018900,0.070023,st,0.000689,32
508,3.490800,0.019679,0.029881,0.029199,0.015472,0.029199,st,0.000692,32
365,3.488070,0.018898,0.029893,0.011632,0.000598,0.011632,st,0.000704,32
266,3.487660,0.018912,0.029894,0.010895,0.001633,0.010895,st,0.000705,32
510,3.490590,0.019060,0.029900,0.003192,0.014918,0.014918,lt,0.000711,34
176,3.490800,0.018031,0.029910,0.057007,0.016445,0.057007,st,0.000721,34
403,3.494140,0.019315,0.029915,0.010148,0.035955,0.035955,lt,0.000726,34
569,3.490370,0.019290,0.029916,0.008833,0.014193,0.014193,lt,0.000726,34
421,3.492680,0.019062,0.029916,0.003055,0.027438,0.027438,lt,0.000727,34
586,3.491420,0.019315,0.029921,0.010152,0.020354,0.020354,lt,0.000732,34
560,3.490800,0.019297,0.029921,0.009223,0.016831,0.016831,lt,0.000732,34
451,3.493930,0.019780,0.029925,0.034486,0.035066,0.035066,lt,0.000736,34
